# h w p block par seq
2319 2995 4 374 0.053520 0.035066
2319 2995 5 299 0.088533 0.035093
2319 2995 6 249 0.092389 0.035051
2319 2995 7 213 0.094924 0.035045
2319 2995 8 187 0.088952 0.035013
2319 2995 1 1497 0.175839 0.033226
2319 2995 2 748 0.094254 0.034815
2319 2995 3 499 0.066449 0.034356
2319 2995 4 374 0.054569 0.034722
2319 2995 5 299 0.082602 0.035271
2319 2995 6 249 0.071018 0.035034
2319 2995 7 213 0.086172 0.035050
2319 2995 8 187 0.074657 0.035013
2319 2995 1 1497 0.175477 0.034125
2319 2995 2 748 0.093976 0.034063
2319 2995 3 499 0.066259 0.034553
2319 2995 4 374 0.053361 0.035019
