h w p k r par_time seq_time
8192 8192 16 4 128 0.136217 0.418567
8192 8192 16 128 2 0.195675 0.417967
8192 8192 16 128 4 0.173845 0.415675
8192 8192 16 64 8 0.157573 0.415379
8192 8192 16 32 16 0.145563 0.429135
8192 8192 16 16 32 0.138916 0.416039
8192 8192 16 8 64 0.132331 0.415707
8192 8192 16 4 128 0.132064 0.415962
8192 8192 16 2 256 0.134124 0.414819
8192 8192 16 1 512 0.133967 0.415807
8192 8192 16 4 128 0.133152 0.418985
8192 8192 16 128 2 0.195615 0.419047
8192 8192 16 128 4 0.177418 0.428731
8192 8192 16 64 8 0.154002 0.408785
8192 8192 16 32 16 0.142461 0.415878
8192 8192 16 16 32 0.137521 0.415664
8192 8192 16 8 64 0.129588 0.415755
8192 8192 16 4 128 0.133258 0.416533
8192 8192 16 2 256 0.138467 0.429094
8192 8192 16 1 512 0.136358 0.428231
8192 8192 16 4 128 0.132626 0.429389
8192 8192 16 128 2 0.197428 0.429007
8192 8192 16 128 4 0.174884 0.416434
8192 8192 16 64 8 0.156270 0.416499
8192 8192 16 32 16 0.142750 0.418131
8192 8192 16 16 32 0.137518 0.415944
8192 8192 16 8 64 0.131148 0.428836
8192 8192 16 4 128 0.133337 0.428974
8192 8192 16 2 256 0.137390 0.415270
8192 8192 16 1 512 0.133918 0.415587
8192 8192 16 4 128 0.132018 0.428766
8192 8192 16 128 2 0.195586 0.429014
8192 8192 16 128 4 0.177478 0.429176
8192 8192 16 64 8 0.153585 0.416658
8192 8192 16 32 16 0.146536 0.428589
8192 8192 16 16 32 0.139515 0.416648
8192 8192 16 8 64 0.130835 0.416273
8192 8192 16 4 128 0.136343 0.429160
8192 8192 16 2 256 0.134358 0.411471
8192 8192 16 1 512 0.138729 0.417855
8192 8192 16 4 128 0.136502 0.428779
8192 8192 16 128 2 0.197831 0.416796
8192 8192 16 128 4 0.177611 0.428763
8192 8192 16 64 8 0.155602 0.416099
8192 8192 16 32 16 0.145871 0.417985
8192 8192 16 16 32 0.140120 0.415381
8192 8192 16 8 64 0.132600 0.428638
8192 8192 16 4 128 0.132963 0.428063
8192 8192 16 2 256 0.136652 0.428993
8192 8192 16 1 512 0.134903 0.428526
8192 8192 16 4 128 0.132373 0.415335
8192 8192 16 128 2 0.195627 0.416249
8192 8192 16 128 4 0.177702 0.428613
8192 8192 16 64 8 0.154726 0.415724
8192 8192 16 32 16 0.145314 0.416715
8192 8192 16 16 32 0.139620 0.415861
8192 8192 16 8 64 0.130588 0.415991
8192 8192 16 4 128 0.136106 0.416418
8192 8192 16 2 256 0.136126 0.417556
8192 8192 16 1 512 0.130221 0.415980
8192 8192 16 4 128 0.136525 0.428821
8192 8192 16 128 2 0.198450 0.428821
8192 8192 16 128 4 0.176633 0.417507
8192 8192 16 64 8 0.155785 0.415486
8192 8192 16 32 16 0.146456 0.429076
8192 8192 16 16 32 0.137833 0.413597
8192 8192 16 8 64 0.131435 0.415914
8192 8192 16 4 128 0.133078 0.415497
8192 8192 16 2 256 0.137432 0.428674
8192 8192 16 1 512 0.131946 0.415906
8192 8192 16 4 128 0.133329 0.416098
8192 8192 16 128 2 0.195914 0.417144
8192 8192 16 128 4 0.177939 0.428902
8192 8192 16 64 8 0.155273 0.416414
8192 8192 16 32 16 0.145358 0.415994
8192 8192 16 16 32 0.140640 0.429328
8192 8192 16 8 64 0.131773 0.415623
8192 8192 16 4 128 0.134965 0.429155
8192 8192 16 2 256 0.135681 0.418919
8192 8192 16 1 512 0.134073 0.415834
8192 8192 16 4 128 0.129438 0.416485
8192 8192 16 128 2 0.196112 0.416820
8192 8192 16 128 4 0.174983 0.416387
8192 8192 16 64 8 0.155949 0.416046
8192 8192 16 32 16 0.145223 0.416027
